MISSING_CANDIDATE	一	じゅう	22
	T	じゅう	一七	じゅうしち
	T	じゅう	一七	じゅうなな
	T	じゅう	一七日	じゅうしちにち
	T	じゅう	一七日	じゅうななにち
	T	じゅう	一三	じゅうさん
MISSING_CANDIDATE	一	ひ	5
	T	ひ	一	ひ
	T	ひ	一とたび	ひとたび
	T	ひ	一と先ず	ひとまず
	T	ひ	一と思いに	ひとおもいに
	T	ひ	一と足	ひとあし
MISSING_CANDIDATE	一	ひとつ	5
	T	ひとつ	一	ひとつ
	T	ひとつ	一にかかって	ひとつにかかって
	T	ひとつ	一に掛かって	ひとつにかかって
	T	ひとつ	一橋大学	ひとつばしだいがく
	T	ひとつ	一葉楓	ひとつばかえで
MISSING_CANDIDATE	七	しっ	9
	T	しっ	七宝	しっぽう
	T	しっ	七宝つなぎ	しっぽうつなぎ
	T	しっ	七宝文	しっぽうもん
	T	しっ	七宝焼	しっぽうやき
	T	しっ	七宝焼き	しっぽうやき
MISSING_CANDIDATE	三	さ	8
	T	さ	三五八	さごはち
	T	さ	三五八漬	さごはちづけ
	T	さ	三五八漬け	さごはちづけ
	T	さ	三味	さみ
	T	さ	三味線	さみせん
MISSING_CANDIDATE	三	しゃ	5
	T	しゃ	三味線	しゃみせん
	T	しゃ	三味線の駒	しゃみせんのこま
	T	しゃ	三味線弾き	しゃみせんひき
	T	しゃ	三味線貝	しゃみせんがい
	T	しゃ	津軽三味線	つがるしゃみせん
MISSING_CANDIDATE	上	あが	83
	T	あが	けた上り	けたあがり
	T	あが	せり上る	せりあがる
	T	あが	とび上る	とびあがる
	T	あが	のぼせ上る	のぼせあがる
	T	あが	上りかまち	あがりかまち
MISSING_CANDIDATE	下	おり	3
	T	おり	下口	おりくち
	T	おり	下口	おりぐち
	T	おり	下立つ	おりたつ
MISSING_CANDIDATE	下	おろ	8
	T	おろ	三枚下し	さんまいおろし
	T	おろ	下し大根	おろしだいこん
	T	おろ	下し金	おろしがね
	T	おろ	下す	おろす
	T	おろ	描き下し	かきおろし
MISSING_CANDIDATE	下	が	3
	T	が	天上天下唯我独尊	てんじょうてんがゆいがどくそん
	T	が	天下	てんが
	T	が	殿下	てんが
MISSING_CANDIDATE	下	さが	16
	T	さが	お下り	おさがり
	T	さが	なり下る	なりさがる
	T	さが	下り目	さがりめ
	T	さが	下り花	さがりばな
	T	さが	下る	さがる
MISSING_CANDIDATE	下	さげ	4
	T	さげ	下緒	さげお
	T	さげ	下膳	さげぜん
	T	さげ	値下	ねさげ
	T	さげ	取下	とりさげ
MISSING_CANDIDATE	下	へ	16
	T	へ	から下手	からへた
