MISSING_CANDIDATE	丁	ちょん	3
	T	ちょん	丁髷	ちょんまげ
	T	ちょん	丁髷物	ちょんまげもの
MISSING_CANDIDATE	丁	でっ	3
	T	でっ	丁稚	でっち
	T	でっ	丁稚奉公	でっちほうこう
	T	でっ	丁稚奉公	でっちぼうこう
MISSING_CANDIDATE	世	しょ	3
	T	しょ	世帯	しょたい
	T	しょ	世帯を張る	しょたいをはる
	T	しょ	新世帯	しんしょたい
MISSING_CANDIDATE	世	じょ	4
	T	じょ	大世帯	おおじょたい
	T	じょ	女世帯	おんなじょたい
	T	じょ	新世帯	あらじょたい
	T	じょ	新世帯	しんじょたい
MISSING_CANDIDATE	両	もろ	10
	T	もろ	両	もろ
	T	もろ	両刃	もろは
	T	もろ	両刃の剣	もろはのけん
	T	もろ	両刃の剣	もろはのつるぎ
	T	もろ	両差し	もろざし
MISSING_CANDIDATE	主	じゅ	4
	T	じゅ	庵主	あんじゅ
	T	じゅ	貫主	かんじゅ
	T	じゅ	鎮主	ちんじゅ
	T	じゅ	院主	いんじゅ
MISSING_CANDIDATE	予	かね	4
	T	かね	予て	かねて
	T	かね	予てから	かねてから
	T	かね	予てより	かねてより
	T	かね	予言	かねごと
MISSING_CANDIDATE	仕	しか	3
	T	しか	仕懸る	しかかる
	T	しか	仕掛り品	しかかりひん
	T	しか	仕掛る	しかかる
MISSING_CANDIDATE	仕	づか	3
	T	づか	すまじきものは宮仕え	すまじきものはみやづかえ
	T	づか	側仕え	そばづかえ
	T	づか	宮仕え	みやづかえ
MISSING_CANDIDATE	他	ひ	6
	T	ひ	他人	ひと
	T	ひ	他人ごと	ひとごと
	T	ひ	他人まかせ	ひとまかせ
	T	ひ	他人事	ひとごと
	T	ひ	他人任せ	ひとまかせ
MISSING_CANDIDATE	住	すま	3
	T	すま	住い	すまい
	T	すま	住う	すまう
	T	すま	住居	すまい
MISSING_CANDIDATE	住	ずま	10
	T	ずま	仮住い	かりずまい
	T	ずま	仮住居	かりずまい
	T	ずま	佗住い	わびずまい
	T	ずま	佗住居	わびずまい
	T	ずま	侘住い	わびずまい
MISSING_CANDIDATE	係	がか	4
	T	がか	世話係り	せわがかり
	T	がか	保安係り	ほあんがかり
	T	がか	出納係り	すいとうがかり
	T	がか	舞台係り	ぶたいがかり
MISSING_CANDIDATE	全	まっと	3
	T	まっと	全う	まっとう
	T	まっと	全うする	まっとうする
	T	まっと	天寿を全うする	てんじゅをまっとうする
MISSING_CANDIDATE	具	のぐ	5
	T	のぐ	アクリル絵具	あくりるえのぐ
	T	のぐ	岩絵具	いわえのぐ
	T	のぐ	水彩絵具	すいさいえのぐ
	T	のぐ	油絵具	あぶらえのぐ
	T	のぐ	絵具	えのぐ
MISSING_CANDIDATE	助	だす	3
	T	だす	人助け	ひとだすけ
	T	だす	大助かり	おおだすかり
	T	だす	手助け	てだすけ
MISSING_CANDIDATE	動	やや	4
	T	やや	動ともすると	ややともすると
	T	やや	動ともすれば	ややともすれば
	T	やや	動もすると	ややもすると
	T	やや	動もすれば	ややもすれば
MISSING_CANDIDATE	勝	がっ	4
	T	がっ	使い勝手	つかいがって
	T	がっ	手前勝手	てまえがって
	T	がっ	自分勝手	じぶんがって
	T	がっ	身勝手	みがって
MISSING_CANDIDATE	去	さり	3
	T	さり	尾去沢石	おさりざわせき
	T	さり	燕去月	つばめさりづき
	T	さり	神去月	かみさりづき
MISSING_CANDIDATE	去	ざ	4
	T	ざ	おき去り	おきざり
	T	ざ	置き去り	おきざり
	T	ざ	置き去る	おきざる
	T	ざ	置去り	おきざり
MISSING_CANDIDATE	反	へん	4
	T	へん	反陪	へんばい
	T	へん	謀反	ぼうへん
	T	へん	謀反	むへん
	T	へん	違反	いへん
MISSING_CANDIDATE	反	ほ	3
	T	ほ	反古	ほご
	T	ほ	反古にする	ほごにする
	T	ほ	反古紙	ほごがみ
MISSING_CANDIDATE	向	なた	9
	T	なた	日向	ひなた
	T	なた	日向に氷	ひなたにこおり
	T	なた	日向ぼこ	ひなたぼこ
	T	なた	日向ぼこり	ひなたぼこり
	T	なた	日向ぼっこ	ひなたぼっこ
MISSING_CANDIDATE	向	むき	3
	T	むき	向直る	むきなおる
	T	むき	夏向	なつむき
	T	むき	真実と向合う	しんじつとむきあう
MISSING_CANDIDATE	向	むけ	3
	T	むけ	仕向	しむけ
	T	むけ	仕向る	しむける
