MISSING_CANDIDATE	付	ず	4
	T	ず	位置付ける	いちずける
	T	ず	格付け	かくずけ
	T	ず	気付く	きずく
	T	ず	近付く	ちかずく
MISSING_CANDIDATE	付	ぶ	3
	T	ぶ	付子	ぶし
	T	ぶ	付子	ぶす
	T	ぶ	木付子	きぶし
MISSING_CANDIDATE	令	りょう	13
	T	りょう	令	りょう
	T	りょう	令制	りょうせい
	T	りょう	令制国	りょうせいこく
	T	りょう	令外の官	りょうげのかん
	T	りょう	大宝律令	たいほうりつりょう
MISSING_CANDIDATE	令	れ	3
	T	れ	お布令	おふれ
	T	れ	布令	ふれ
	T	れ	御布令	おふれ
MISSING_CANDIDATE	以	も	9
	T	も	まず以って	まずもって
	T	も	を以って	をもって
	T	も	井蛙は以って海を語る可からず	せいあはもってうみをかたるべからず
	T	も	以ちまして	もちまして
	T	も	以って	もって
MISSING_CANDIDATE	伝	づ	3
	T	づ	人伝て	ひとづて
	T	づ	口伝て	くちづて
	T	づ	言伝て	ことづて
MISSING_CANDIDATE	位	み	4
	T	み	三位	さんみ
	T	み	三位一体	さんみいったい
	T	み	従三位	じゅさんみ
	T	み	正三位	しょうさんみ
MISSING_CANDIDATE	例	ためし	3
	T	ためし	例	ためし
	T	ためし	例がない	ためしがない
	T	ためし	例が無い	ためしがない
MISSING_CANDIDATE	便	だよ	4
	T	だよ	便り	だより
	T	だよ	初便り	はつだより
	T	だよ	片便り	かただより
	T	だよ	花便り	はなだより
MISSING_CANDIDATE	借	かり	31
	T	かり	借上げる	かりあげる
	T	かり	借主	かりぬし
	T	かり	借人	かりにん
	T	かり	借住まい	かりずまい
	T	かり	借入	かりいれ
MISSING_CANDIDATE	兵	ぴょう	5
	T	ぴょう	臨兵闘者皆陣列在前	りんぴょうとうしゃかいじんれつざいぜん
	T	ぴょう	臨兵闘者皆陣烈在前	りんぴょうとうしゃかいじんれつざいぜん
	T	ぴょう	臨兵闘者皆陣裂在前	りんぴょうとうしゃかいじんれつざいぜん
	T	ぴょう	軍兵	ぐんぴょう
	T	ぴょう	雑兵	ざっぴょう
MISSING_CANDIDATE	兵	へ	4
	T	へ	兵児	へこ
	T	へ	兵児帯	へこおび
	T	へ	兵児祝	へこいわい
	T	へ	兵児鮎	へこあゆ
MISSING_CANDIDATE	兵	べ	18
	T	べ	お初徳兵衛	おはつとくべえ
	T	べ	どん兵衛	どんべえ
	T	べ	むっつり助兵衛	むっつりすけべえ
	T	べ	助兵衛	すけべえ
	T	べ	助兵衛根性	すけべえこんじょう
MISSING_CANDIDATE	冷	ざ	4
	T	ざ	湯冷まし	ゆざまし
	T	ざ	湯冷め	ゆざめ
	T	ざ	燗冷まし	かんざまし
	T	ざ	興冷め	きょうざめ
MISSING_CANDIDATE	冷	ひえ	4
	T	ひえ	冷性	ひえしょう
	T	ひえ	冷物	ひえもの
	T	ひえ	冷者	ひえもの
	T	ひえ	冷飯	ひえめし
MISSING_CANDIDATE	初	うぶ	6
	T	うぶ	初	うぶ
	T	うぶ	初い	うぶい
	T	うぶ	初だし品	うぶだしひん
	T	うぶ	初出	うぶだし
	T	うぶ	初出し品	うぶだしひん
MISSING_CANDIDATE	初	ぞめ	4
	T	ぞめ	仕初	しぞめ
	T	ぞめ	出初式	でぞめしき
	T	ぞめ	初	ぞめ
	T	ぞめ	書初	かきぞめ
MISSING_CANDIDATE	別	わけ	3
	T	わけ	別	わけ
	T	わけ	別て	わけて
	T	わけ	別ても	わけても
MISSING_CANDIDATE	利	かが	4
	T	かが	足利信用金庫	あしかがしんようきんこ
	T	かが	足利大学	あしかがだいがく
	T	かが	足利幕府	あしかがばくふ
	T	かが	足利時代	あしかがじだい
MISSING_CANDIDATE	利	と	3
	T	と	利し	とし
	T	と	利鎌	とかま
	T	と	利鎌	とがま
MISSING_CANDIDATE	刷	さっ	5
	T	さっ	人心刷新	じんしんさっしん
	T	さっ	刷子	さっし
	T	さっ	刷新	さっしん
	T	さっ	刷版	さっぱん
	T	さっ	大幅刷新	おおはばさっしん
MISSING_CANDIDATE	副	そ	3
	T	そ	副う	そう
	T	そ	副える	そえる
	T	そ	副え木	そえぎ
MISSING_CANDIDATE	包	つま	4
	T	つま	キツネに包まれる	きつねにつままれる
	T	つま	狐に包まれる	きつねにつままれる
MISSING_CANDIDATE	卒	しゅっ	3
	T	しゅっ	卒す	しゅっす
	T	しゅっ	卒する	しゅっする
	T	しゅっ	卒去	しゅっきょ
MISSING_CANDIDATE	博	はか	5
	T	はか	博多	はかた
	T	はか	博多どんたく	はかたどんたく
	T	はか	博多人形	はかたにんぎょう
	T	はか	博多弁	はかたべん
	T	はか	博多織	はかたおり
MISSING_CANDIDATE	司	す	8
	T	す	下司	げす
	T	す	下司のかんぐり	げすのかんぐり
	T	す	下司の勘ぐり	げすのかんぐり
	T	す	下司の勘繰り	げすのかんぐり
	T	す	下司の後知恵	げすのあとぢえ
MISSING_CANDIDATE	司	つかさ	4
	T	つかさ	司	つかさ
	T	つかさ	司どる	つかさどる
	T	つかさ	菓子司	かしつかさ
	T	つかさ	郡の司	こおりのつかさ
MISSING_CANDIDATE	司	づかさ	5
	T	づかさ	会堂司	かいどうづかさ
	T	づかさ	宮司	みやづかさ
	T	づかさ	家司	いえづかさ
	T	づかさ	神司	かみづかさ
	T	づかさ	神司	かんづかさ
MISSING_CANDIDATE	器	ぎ	4
	T	ぎ	三種の神器	さんしゅのじんぎ
	T	ぎ	小器用	こぎよう
	T	ぎ	神器	しんぎ
	T	ぎ	神器	じんぎ
MISSING_CANDIDATE	城	き	14
	T	き	城	き
	T	き	奥つ城	おくつき
	T	き	奥つ城所	おくつきどころ
	T	き	奥津城	おくつき
	T	き	奥都城	おくつき
MISSING_CANDIDATE	城	ぎ	10
	T	ぎ	宮城	みやぎ
	T	ぎ	宮城大学	みやぎだいがく
	T	ぎ	宮城学院女子大学	みやぎがくいんじょしだいがく
	T	ぎ	宮城教育大学	みやぎきょういくだいがく
	T	ぎ	宮城県	みやぎけん
MISSING_CANDIDATE	塩	あん	4
	T	あん	いい塩梅に	いいあんばいに
	T	あん	塩梅	あんばい
	T	あん	塩梅酢	あんばいず
	T	あん	良い塩梅に	いいあんばいに
