MISSING_CANDIDATE	仏	ふっ	3
	T	ふっ	仏国	ふっこく
	T	ふっ	仏暁	ふっきょう
	T	ふっ	仏貨	ふっか
MISSING_CANDIDATE	仏	ぶ	5
	T	ぶ	お仏供	おぶく
	T	ぶ	丸仏手柑	まるぶしゅかん
	T	ぶ	仏具	ぶぐ
	T	ぶ	仏手柑	ぶしゅかん
	T	ぶ	御仏供	おぶく
MISSING_CANDIDATE	似	ね	21
	T	ね	バカな真似	ばかなまね
	T	ね	人真似	ひとまね
	T	ね	口真似	くちまね
	T	ね	手真似	てまね
	T	ね	泣き真似	なきまね
MISSING_CANDIDATE	保	も	5
	T	も	保ち合い	もちあい
	T	も	保ち合う	もちあう
	T	も	保つ	もつ
	T	も	日保ち	ひもち
	T	も	火保ち	ひもち
MISSING_CANDIDATE	保	もち	4
	T	もち	保合	もちあい
	T	もち	保合い	もちあい
	T	もち	保合う	もちあう
	T	もち	弱保合い	よわもちあい
MISSING_CANDIDATE	修	す	5
	T	す	修法	すほう
	T	す	修理	すり
	T	す	修羅	すら
	T	す	修行	すぎょう
	T	す	阿修羅	あすら
MISSING_CANDIDATE	備	そなえ	5
	T	そなえ	備付	そなえつけ
	T	そなえ	備立	そなえたて
	T	そなえ	備立	そなえだて
	T	そなえ	備立て	そなえたて
	T	そなえ	備立て	そなえだて
MISSING_CANDIDATE	備	ぞな	3
	T	ぞな	中備え	なかぞなえ
	T	ぞな	赤備え	あかぞなえ
	T	ぞな	陣備え	じんぞなえ
MISSING_CANDIDATE	備	びん	5
	T	びん	備後	びんご
	T	びん	備後表	びんごおもて
	T	びん	備長	びんちょう
	T	びん	備長炭	びんちょうずみ
	T	びん	備長炭	びんちょうたん
MISSING_CANDIDATE	則	すなわ	3
	T	すなわ	則ち	すなわち
	T	すなわ	月満つれば則ち虧く	つきみつればすなわちかく
	T	すなわ	過ちては則ち改むるに憚ること勿れ	あやまちてはすなわちあらたむるにはばかることなかれ
MISSING_CANDIDATE	勢	せ	22
	T	せ	京男に伊勢女	きょうおとこにいせおんな
	T	せ	伊勢	いせ
	T	せ	伊勢えび	いせえび
	T	せ	伊勢エビ	いせえび
	T	せ	伊勢丹	いせたん
MISSING_CANDIDATE	勢	はず	3
	T	はず	勢み	はずみ
	T	はず	勢み車	はずみぐるま
	T	はず	勢む	はずむ
MISSING_CANDIDATE	告	こう	3
	T	こう	告天子	こうてんし
	T	こう	告文	こうもん
	T	こう	告朔	こうさく
MISSING_CANDIDATE	告	こっ	3
	T	こっ	告解	こっかい
	T	こっ	告解場	こっかいじょう
	T	こっ	告解師	こっかいし
MISSING_CANDIDATE	告	つげ	4
	T	つげ	お告	おつげ
	T	つげ	告口	つげぐち
	T	つげ	御告	おつげ
	T	つげ	春告鳥	はるつげどり
MISSING_CANDIDATE	団	どん	4
	T	どん	団亀	どんがめ
	T	どん	団栗	どんぐり
	T	どん	団栗の背比べ	どんぐりのせいくらべ
	T	どん	団栗眼	どんぐりまなこ
MISSING_CANDIDATE	在	いま	5
	T	いま	在す	います
	T	いま	在すかり	いますかり
	T	いま	在すがり	いますがり
	T	いま	在そかり	いまそかり
	T	いま	在そがり	いまそがり
MISSING_CANDIDATE	在	さい	3
	T	さい	如在	じょさい
	T	さい	如在ない	じょさいない
	T	さい	如在無い	じょさいない
MISSING_CANDIDATE	報	しら	5
	T	しら	お報せ	おしらせ
	T	しら	報せ	しらせ
	T	しら	報せる	しらせる
	T	しら	御報せ	おしらせ
	T	しら	虫の報せ	むしのしらせ
MISSING_CANDIDATE	妻	ずま	11
	T	ずま	切り妻	きりずま
	T	ずま	切妻	きりずま
	T	ずま	吾妻	あずま
	T	ずま	吾妻しい	あずましい
	T	ずま	吾妻コート	あずまこーと
MISSING_CANDIDATE	妻	め	7
	T	め	側妻	そばめ
	T	め	妻	め
	T	め	妻合わせる	めあわせる
	T	め	妻君	めぎみ
	T	め	妻子	めこ
MISSING_CANDIDATE	容	かたち	3
	T	かたち	容	かたち
	T	かたち	容作る	かたちづくる
	T	かたち	顔容	かおかたち
MISSING_CANDIDATE	居	こ	5
	T	こ	一言居士	いちげんこじ
	T	こ	一言居士	いちごんこじ
	T	こ	居士	こじ
	T	こ	慎重居士	しんちょうこじ
	T	こ	直言居士	ちょくげんこじ
MISSING_CANDIDATE	居	ご	3
	T	ご	冬安居	ふゆあんご
	T	ご	夏安居	げあんご
	T	ご	安居	あんご
MISSING_CANDIDATE	属	ぞっ	4
	T	ぞっ	属国	ぞっこく
	T	ぞっ	属国化	ぞっこくか
	T	ぞっ	属官	ぞっかん
	T	ぞっ	属格	ぞっかく
MISSING_CANDIDATE	布	ほう	3
	T	ほう	布衣	ほうい
	T	ほう	布衣始	ほういはじめ
	T	ほう	布衣始め	ほういはじめ
MISSING_CANDIDATE	布	め	5
	T	め	若布	わかめ
	T	め	茎若布	くきわかめ
	T	め	荒布	あらめ
	T	め	蔓荒布	つるあらめ
	T	め	鳴門若布	なるとわかめ
MISSING_CANDIDATE	師	じ	3
	T	じ	禅師	ぜんじ
	T	じ	経師	きょうじ
	T	じ	経師屋	きょうじや
MISSING_CANDIDATE	幹	から	3
	T	から	幹	から
	T	から	幹竹	からたけ
	T	から	幹竹割り	からたけわり
MISSING_CANDIDATE	幹	がら	6
	T	がら	家柄より芋幹	いえがらよりいもがら
	T	がら	浮矢幹	うきやがら
	T	がら	矢幹	やがら
	T	がら	芋幹	いもがら
	T	がら	豆幹	まめがら
MISSING_CANDIDATE	弁	びら	4
	T	びら	花弁	はなびら
	T	びら	花弁茸	はなびらたけ
	T	びら	花弁茸	はなびらだけ
	T	びら	花弁餅	はなびらもち
MISSING_CANDIDATE	弁	べ	7
	T	べ	弁才	べざい
	T	べ	弁才天	べざいてん
	T	べ	弁才船	べざいせん
	T	べ	弁財	べざい
	T	べ	弁財天	べざいてん
MISSING_CANDIDATE	性	た	3
	T	た	性質が悪い	たちがわるい
	T	た	性質の悪い	たちのわるい
	T	た	性質悪い	たちわるい
MISSING_CANDIDATE	情	ぜい	3
	T	ぜい	役者風情	やくしゃふぜい
	T	ぜい	町人風情	ちょうにんふぜい
	T	ぜい	風情	ふぜい
MISSING_CANDIDATE	態	だい	3
	T	だい	容態	ようだい
	T	だい	容態ぶる	ようだいぶる
	T	だい	容態振る	ようだいぶる
MISSING_CANDIDATE	慣	なら	3
	T	なら	慣わし	ならわし
	T	なら	慣わす	ならわす
	T	なら	手慣し	てならし
MISSING_CANDIDATE	採	とり	3
	T	とり	採上げる	とりあげる
	T	とり	採入れる	とりいれる
	T	とり	木の葉採月	このはとりづき
MISSING_CANDIDATE	接	は	8
	T	は	メリヤス接ぎ	めりやすはぎ
	T	は	掛け接ぎ	かけはぎ
	T	は	掛接ぎ	かけはぎ
	T	は	接ぎ合わせる	はぎあわせる
	T	は	接ぎ目	はぎめ
MISSING_CANDIDATE	提	さげ	5
	T	さげ	手提	てさげ
	T	さげ	手提バッグ	てさげばっぐ
	T	さげ	手提籠	てさげかご
	T	さげ	手提金庫	てさげきんこ
	T	さげ	提重箱	さげじゅうばこ
MISSING_CANDIDATE	政	じょう	4
	T	じょう	太政大臣	だいじょうだいじん
	T	じょう	太政大臣	だじょうだいじん
	T	じょう	太政官	だいじょうかん
	T	じょう	太政官	だじょうかん
MISSING_CANDIDATE	断	こと	6
	T	こと	お断わり	おことわり
	T	こと	断わり	ことわり
	T	こと	断わりをいれる	ことわりをいれる
	T	こと	断わりを入れる	ことわりをいれる
	T	こと	断わる	ことわる
MISSING_CANDIDATE	断	たち	3
	T	たち	断切り	たちきり
