MISSING_CANDIDATE	並	ならび	3
	T	ならび	並に	ならびに
	T	ならび	並変える	ならびかえる
	T	ならび	並替える	ならびかえる
MISSING_CANDIDATE	乳	ぢ	5
	T	ぢ	もらい乳	もらいぢ
	T	ぢ	添え乳	そえぢ
	T	ぢ	添乳	そえぢ
	T	ぢ	胸乳	むなぢ
	T	ぢ	貰い乳	もらいぢ
MISSING_CANDIDATE	傷	で	4
	T	で	浅傷	あさで
	T	で	深傷	ふかで
	T	で	深傷を負う	ふかでをおう
	T	で	重傷	おもで
MISSING_CANDIDATE	党	どう	3
	T	どう	一族郎党	いちぞくろうどう
	T	どう	家の子郎党	いえのころうどう
	T	どう	郎党	ろうどう
MISSING_CANDIDATE	冊	さっ	6
	T	さっ	冊子	さっし
	T	さっ	冊子体	さっしたい
	T	さっ	冊子本	さっしぼん
	T	さっ	冊子版	さっしばん
	T	さっ	冊数	さっすう
MISSING_CANDIDATE	処	か	8
	T	か	住み処	すみか
	T	か	住処	すみか
	T	か	在り処	ありか
	T	か	地獄も住み処	じごくもすみか
	T	か	地獄も住処	じごくもすみか
MISSING_CANDIDATE	処	じょ	3
	T	じょ	四念処	しねんじょ
	T	じょ	生処	しょうじょ
	T	じょ	閑処	かんじょ
MISSING_CANDIDATE	処	ど	19
	T	ど	お居処	おいど
	T	ど	居処	いど
	T	ど	御居処	おいど
	T	ど	止め処	とめど
	T	ど	止め処なく	とめどなく
MISSING_CANDIDATE	卵	かい	3
	T	かい	卵	かい
	T	かい	卵割	かいわり
	T	かい	卵割り	かいわり
MISSING_CANDIDATE	卵	たま	5
	T	たま	かき卵	かきたま
	T	たま	かき卵汁	かきたまじる
	T	たま	掻き卵	かきたま
	T	たま	掻き卵汁	かきたまじる
	T	たま	搔き卵	かきたま
MISSING_CANDIDATE	否	ぷ	3
	T	ぷ	安否	あんぷ
	T	ぷ	運否	うんぷ
	T	ぷ	運否天賦	うんぷてんぷ
